Name,Country,Description,Category,Origins
Lake Wanka,New Zealand,Gateway to Greatness,Water Feature,Natural
Abu Simbel,Egypt,Ancient Colossals Modern Marvel,Historical Site,Man-made
Cimetiere Du Pere Lachaise,France,Paris's Great Beyond,Religion,Man-made
Big Sur,US,Wilderness Unplugged,Water Feature,Natural
Matterhorn,Switzerland,The Alps' Dark Brooding Beauty,Geological Feature,Natural
Galma Stan,Sweden,Stockholm's Time Capsule,District/Square,Man-made
Okavanga Delta,Botswana,Wonderful Water World,Wildlife,Natural
Golden Gate Bridge,US,An Icon on the Way,Modern Attractions,Man-made
Dashashwamedh Ghat,India,Holiest of Holy Sites,Religion,Man-made
Gaint's Causeway,Ireland,Rock Solid,Geological Feature,Natural
Auschwitz-Birkenau,Poland,Haunting Holocaust Memorial,Historical Site,Man-made
Parque Nacional Corcovado,Costa Rica,Bastion of Biodiversity,Wildlife,Natural
Niagra Falls,Canada,A Thunderous Force of Nature,Water Feature,Natural
Potala Palace,China,"Palatial, Poignant, Profound",Religion,Man-made
Bora Bora,French Polynesia,Dreamlike Lagoon Paradise,Water Feature,Natural
Empire State Building,US,Tall Storeys,Modern Attractions,Man-made
Budapest's Thermal Bath,Hungary,Cleanliness is Next to...,Adventure/Activity,Man-made
Topkapi Palace,Turkey,Ostentatious Ottomon Palace,Palace/Castle,Man-made
Tallinn Old Town,Estonia,Medieval Jewel of Estonia,District/Square,Man-made
Stari Most,Bosnia,A Bridge for Peace,Modern Attractions,Man-made
Ayuthaya,Thailand,Crumbling Chedi Complex,Historical Site,Man-made
Vatican Museum,Italy,Famous Frescoed Chapel,Museum,Man-made
Anakena Beach,Chile,Sunbathing with Statues,Water Feature,Natural
The Peak,China,Keeping a Cool Head,Geological Feature,Natural
St Paul's Cathedral,UK,Christopher Wren's Thames-side Marvel,Religion,Man-made
Meteora,Greece,Saintly Stony Pillars,Geological Feature,Natural
Confucius Temple,China,Lavish Alter to the Great Teacher,Religion,Man-made
Copper Canyon,Mexico,River Deep Mountain High,Geological Feature,Natural
Aiguille du Midi,France,360-degree Alps View,Geological Feature,Natural
Cerro Fitz Roy,Argentina,Patagonia's Peak of Fire,Geological Feature,Natural
Bryggen,Norway,Echanting Historic Wharf Community,District/Square,Man-made
Steward Island,New Zealand,Home of the Kiwi,Nature Landscape,Natural
Durbar Square,Nepal,Beautiful Time Warped Museum,District/Square,Man-made
Bazaruto Archipelago,Mozambique,Aquatic Beach Bonaza,Water Feature,Natural
Plitvice Lakes National Park,Croatia,Striking Turquoise Water World,Water Feature,Natural
Prinsengracht Canal,Netherlands,Princely Waterway Pulsing with Life,Water Feature,Man-made
Bay of Islands,New Zealand,The Life Aquatic,Water Feature,Natural
Pantanal,Brazil,Wondrous Wildlife-rich Wetlands,Wildlife,Natural
Daibutsu of Nara,Japan,Impressive Bronze Bearer of Enlightenment,Religion,Man-made
National Museum of Anthropology,Mexico,Mexico's Most Visited Museum,Museum,Man-made
Skara Brae,UK,Prehistoric Village Frozen in Time,Historical Site,Man-made
Geirangerfjord,Norway,Ultimate Fjord-Meandering Ferry Ride,Nature Landscape,Natural
Tayrona National Park,Colombia,Caribbean Camping,Water Feature,Natural
Choquequirao,Peru,The Untrammelled Inca Trail,Historical Site,Man-made
Ephesus,Turkey,A Greco-Roman Wonder in Turkey,Historical Site,Man-made
Kruger National Park,South Africa,Unique Wildlife Exprience,Wildlife,Natural
Tulum,Mexico,Maya Beauty Queen,Historical Site,Man-made
Tsukiji Market,Japan,Behind-the-scenes Toyko,District/Square,Man-made
Sintra,Portugal,Stupendously Silly Castle Craziness,Palace/Castle,Man-made
Carcasonne Castle,France,Fairy-tale French Castle,Palace/Castle,Man-made
Statue of Liberty & Ellis Island,US,Welcome to America,Modern Attractions,Man-made
Vatnajokull National Park,Iceland,Fire & Ice Megapark,Nature Landscape,Man-made
Blue Mosque,Turkey,Istanbul's Show Stopper,Religion,Man-made
Gion District,Japan,Memories of a Geisha,District/Square,Man-made
Grand Buddha,China,Is that a Buddha?,Religion,Man-made
Actun Tunichil Muknal,Belize,Sacred Cave,Geological Feature,Natural
Haida Gwaii,Canada,Lost World of Haida Culture,Nature Landscape,Natural
Bairro of Ribeira,Portugal,A Magical Medeval Waterfront,District/Square,Man-made
Koya-san,Japan,A Religous Exprience,Religion,Man-made
Mt Etna,Italy,Smoking Sicily,Geological Feature,Natural
Eiger,Switzerland,Infamous Alpine Orge,Geological Feature,Natural
Walt Disney World,US,The World's Happy Place,Adventure/Activity,Man-made
Chernobyl,Ukraine,Tour the Apocalypse,Adventure/Activity,Man-made
Shibuya Crossing,Japan,An Elegant Scramble,District/Square,Man-made
Valle de Vinales,Cuba,Cuba's Hidden Valley,Nature Landscape,Natural
Schloss Neuschwanstien,Germany,Bavaria's Fairy-tale Made Flesh,Palace/Castle,Man-made
Terracotta Warriors,China,Slient Ceramic Sentinels,Historical Site,Man-made
Shackleton's Hut,Antarctica,Be a Polar Explorer,Historical Site,Man-made
Icehotel,Sweden,A Magical Sub-zero Sleepover,Adventure/Activity,Man-made
Moraine Lake,Canada,More than a 20 dollar View,Water Feature,Natural
Roman Baths,UK,Awash with Beauty,Historical Site,Man-made
Chobe National Park,Botswana,Kingdom of Elephants,Wildlife,Natural
Inle Lake,Myanmar,Burma's Living Lake,Water Feature,Natural
Mt Kinabalu,Malaysia,Malaysia's Magnificent Mountain,Geological Feature,Natural
Phong Nha-Ke Bang National Park,Vietnam,Jungles War-Relics & World's Biggest Cave,Geological Feature,Natural
Royal Mile,UK,Edinburgh's Storied Spine,District/Square,Man-made
National Mall,US,America's Front Yard,Adventure/Activity,Man-made
Cristo Redentor,Brazil,The Lord on High,Modern Attractions,Man-made
Prague Castle,Czech Republic,Look in on King Wencelas,Palace/Castle,Man-made
Ghana Slave Forts,Ghana,Sobering Slave-trade History,Palace/Castle,Man-made
Brussel's Grand Place,Belgium,Gothic Guildhall Grandeur,Palace/Castle,Man-made
Kinkaku-ji,Japan,The Golden Jewel of Japan,Religion,Man-made
Gullfoss,Iceland,Thunderous Falls,Water Feature,Natural
Rocky Mountain National Park,US,Get Rocky Mountain Higher,Geological Feature,Natural
Egyptian Museum,Egypt,Egyptology's Treasure Trove,Museum,Man-made
Gorge de Verdon,France,Europe's Grand Canyon,Geological Feature,Natural
Amber Fort,India,Rajasthan in a Fortress,Palace/Castle,Man-made
Snowdonia,UK,Wale's Legendary Mountains,Geological Feature,Natural
Valcanoes National Park,Rwanda,Gorillas in the Mist,Wildlife,Natural
Xochimilco,Mexico,Venice Mexican Style,Water Feature,Man-made
Glencoe,UK,Monarch of the Glens,Nature Landscape,Natural
Mont Blanc,France,Dancing with La Dame Blanche,Geological Feature,Natural
Karnak,Egypt,A Sacred Site on Steroids,Historical Site,Man-made
Gardens by the Bay,Singapore,The Botanic Garden of the Future,Modern Attractions,Man-made
iSimangaliso Wetland Park,South Africa,Africa's Waterlogged Wonderland,Wildlife,Natural
York Minister,UK,Fairy Tale of Old York,Religion,Man-made
Van Gogh Museum,Netherlands,Trace the Totured Artist's Life,Museum,Man-made
Sigiriya Rock,Sri Lanka,Sri Lanka's Rock Star,Geological Feature,Natural
Meenakshi Amman Temple,India,Meet 10000 gods,Religion,Man-made
Tbilisi Old Town,Georgia,The Heart of Eurasia,District/Square,Man-made
Changdeokgung Palace,South Korea,Seoul's Most Regal Residence,Palace/Castle,Man-made
Korea's DMZ,North Korea,The Most Dangerous Place on Earth?,Adventure/Activity,Man-made
Bodhnath Stupa,Nepal,Where Life in Kathmandu Revolves,Religion,Man-made
Rynek Glowny,Poland,Trumpeter of Krakow,District/Square,Man-made
Mogao Caves,China,Rugged Romance of the Silk Road,Religion,Man-made
Vat Phou,Laos,Lao's Answer to Angkor,Religion,Man-made
Island of Goree,Senegal,Memory Island,Historical Site,Man-made
Mont St-Michel,France,An Ancient Pilgrimage,Religion,Man-made
Blue Mountains National Park,Australia,Hazy Aussie Mountains,Geological Feature,Natural
Mozambique Island,Mozambique,Vigrant Ghost Town,Water Feature,Natural
Erg Chebbi Dunes,Morocco,The Sahara's Stunning Crest,Nature Landscape,Natural
Historic Centre of San Gimignano,Italy,Italy's First Skyscrapers,Modern Attractions,Man-made
Vasamuseet,Sweden,Swedish Glory Sunk and Salvaged,Historical Site,Man-made
Portmeirion,UK,Enter the Potty World of the Prisoner,District/Square,Man-made
Times Square,US,See New York's Bright Lights,District/Square,Man-made
Bacuit Archipelago,Philippines,Pick a Paradise Island...,Water Feature,Natural
Robben Island,South Africa,Walk in Mandela's Footsteps,Historical Site,Man-made
Borgarfjordur Eystri & Seydisfjordur,Iceland,Fjordtastic,Nature Landscape,Natural
Sossusvlei,Namibia,Mountains of Sculptured Sand,Nature Landscape,Natural
Wieliczka Salt Mine,Poland,Vault of Salt,Historical Site,Man-made
Parque Nacional Nahuel Huapi,Argentina,Pretty Alpine Crowd-Pleaser,Nature Landscape,Natural
Jellyfish Lake,Palau,Marine Miracle,Wildlife,Natural
Vigelandsparken,Norway,Sculpture in the Buff,Museum,Man-made
Summer Palace,China,Imperial China's Summer Retreat,Palace/Castle,Man-made
Old Quebec City,Canada,The New World's Eldery Exception,District/Square,Man-made
Canterburt Cathedral,UK,Church of England's Historic Home,Religion,Man-made
Carthage,Tunisia,Africa's Ancient Punic Capital,Historical Site,Man-made
Reichstag,Germany,Teutonic Shapeshifter,Historical Site,Man-made
Virupaksha Temple,India,Ancient Sacred Skyscraper,Religion,Man-made
Malecon,Cuba,Havana's Iconic Seaside Strip,District/Square,Man-made
Bru na Boinne,Ireland,Mystical Prehistoric Tombs,Historical Site,Man-made
Museo del Prado,Spain,Madrid's Home of Masterpieces,Museum,Man-made
Lago de Atitlan,Guatemala,The Heart of Guatemalan Highlands,Water Feature,Natural
Gunung Leuser National Park,Indonesia,Orang-utan Fantasy Jungle,Wildlife,Natural
Alcatraz,US,Legendary Gangster Prison,Historical Site,Man-made
Piazza Del Campo,Italy,Medieval Stage for a Wild Race,District/Square,Man-made
Postojna Cave & Predjama Castle,Slovenia,Cave & Castle Combo,Palace/Castle,Man-made
Rila Monastery,Bulgaria,Heavenly Highland Haven,Religion,Man-made
Bund,China,Historic City Promenade,Historical Site,Man-made
Rijksmuseum,Netherlands,Netherland's Treasure Chest,Museum,Man-made
Pont du Gard,France,Pastoral Roman Engineering Marvel,Historical Site,Man-made
Real Alcazar,Spain,Andalusian Architectual Perfection,Palace/Castle,Man-made
Singapore Zoo,Singapore,Where Wild Things Roam,Wildlife,Man-made
Wadi Rum,Jordan,Jordan's Majestic Desert-scape,Nature Landscape,Natural
Luxor Temple,Egypt,Abode of Ancient Gods,Religion,Man-made
Natural History Museum,UK,Wondrous Wildlife-rich Wetlands,Museum,Man-made
Old Dehli,India,Chaotic Jumble of Life,District/Square,Man-made
Cinque Terre,Italy,Cliffside Villages Steeped in History,Modern Attractions,Man-made
Borobudur,Indonesia,Buddha's Mega Monument,Religion,Man-made
Bosque Nuboso Monteverde,Costa Rica,Cloud Cuckoo Land,Nature Landscape,Natural
Parque Nacional Manuel Antonio,Costa Rica,Perfectly Formed Park,Wildlife,Natural
Milan's Duomo,Italy,Milan's Creativity & Ambition,Religion,Man-made
Burj Khalifa,United Arab Emirates,Potent Symbol of Power,Modern Attractions,Man-made
Djenne Mosque,Mali,Fairy-tale Mud Mosque,Religion,Man-made
Naoshima,Japan,Art Island Escape,Modern Attractions,Man-made
Tajik National Park,Tajikistan,Roof of the World,Nature Landscape,Natural
Silfra,Iceland,Take the Plunge where Continents Divide,Adventure/Activity,Natural
Bwindi Impenetrable National Park,Uganda,Ape Attraction,Wildlife,Natural
La Citadelle la Ferriere,Haiti,Deserted Hilltop Fortress,Palace/Castle,Man-made
Gallipoli Cemeteries,Turkey,Moving Memorials of War,Historical Site,Man-made
Davit Gareja,Georgia,Monastery at the Edge of the Earth,Religion,Man-made
Rhodes Old Town,Greece,Eclectic Fortied Port,District/Square,Man-made
Church of the Holy Sepulchre,Israel,Holy Heavywieght,Religion,Man-made
Registan,Uzbekistan,Exqusite Silk Road Plaza,Historical Site,Man-made
Itsukushima-Jinga gate,Japan,Towering Sacred Gateway,Historical Site,Man-made
Lincoln Memorial,US,US's Most Popular Monument,Historical Site,Man-made
Chateau de Chenonceau,France,Legendary Party Castle,Palace/Castle,Man-made
South Luangwa National Park,Zambia,Best-kept Safari Secret,Wildlife,Natural
Valle de la Luna,Chile,Parched Desert Lunarscape,Geological Feature,Natural
National September 11 Museum & Memorial,US,Poigant Ground Zero Tribute,Historical Site,Man-made
Glaciar Perito Moreno,Argentina,Glacial Theatrics,Water Feature,Natural
Ningaloo Marine Park,Australia,The Life Aquatic,Wildlife,Natural
Longji Rice Terraces,China,Spectacular Dragon's Backbone,Nature Landscape,Man-made
Mt McKinley,US,Alaska's Take on Everest,Geological Feature,Natural
Athabasca Glacier,Canada,Icy Adventures,Water Feature,Natural
Timgad ruins,Algeria,Symbol of Rome in Africa,Historical Site,Man-made
Selous Game Reserve,Tanzania,Wilf Heart of Africa,Wildlife,Natural
Volcan Arenal,Costa Rica,Volcano Views,Geological Feature,Natural
Asa Wright Nature Centre,Trinidad & Tobago,Caribbean Bird Santuary,Wildlife,Natural
Parque Nacional de los Picos de Europa,Spain,Heaven for Hikers,Geological Feature,Natural
Angel Falls,Venezuela,Inaccessible Waterfall Wonder,Water Feature,Natural
Yakushima,Japan,Cedar-capture Hiker's Paradise,Nature Landscape,Natural
Whakarewarewa,New Zealand,Steamed-up Spectacles,Historical Site,Man-made
Memento Park,Hungary,Cemetry of Socialism,Historical Site,Man-made
Death Valley National Park,US,Land of Extremes,Nature Landscape,Natural
Ko Phi-Phi,Thailand,The Pearls of the Andaman,Water Feature,Natural
Waitomo Caves,New Zealand,A Galaxy of Glowworms,Wildlife,Natural
Eden Project,UK,The Planet's Plant Life All Wrapped Up,Museum,Man-made
Kizhi Project,Russia,Remote Russia's Wooden Wonder,Religion,Man-made
Mt Kailash,China,The World's Most Sacred Mountain,Geological Feature,Natural
Rainbow Reef,Fiji,Psychedelic Coral Forest,Adventure/Activity,Natural
Te Papa Tongarewa,New Zealand,Museum for All Ages,Museum,Man-made
Ross Ice Shelf,Antarctica,End-of-the-World Ice Wall,Water Feature,Natural
Ras al-Jinz,Oman,Important Turtle-nesting Site,Wildlife,Natural
Anse Vata,New Caledonia,Fantasy City Beach,Water Feature,Natural
Kilwa Kisiwani,Tanzania,Swahili Port Ruins,Historical Site,Man-made
Socotra Island,Yemen,Galapagos without the Crowd,Wildlife,Natural
Old Dhaka,Bangladesh,Bangladesh's Throbing Heart,District/Square,Man-made
Underwater Sculpture Park,Grenada,Eerie Artical Reef Art,Museum,Man-made
Pulau Sipadan,Malaysia,Borneo's Diving Paradise,Wildlife,Natural
St Davids Cathedral,UK,Medieval Miracle,Religion,Man-made
Dead Sea,Jordan,The No-Sinking Sea,Water Feature,Natural
Kilimanjaro,Tanzania,Savannah to Summit,Geological Feature,Natural
Cologne Cathedral,Germany,Gothic Kingdom,Religion,Man-made
Drakenburg Amphitheatre,South Africa,Land of Cliffs & Canyons,Geological Feature,Natural
Parque Nacional Cotopaxi,Ecuador,Ventiginous Volcanic Vistas,Nature Landscape,Natural
Chatuchak Weekend Market,Thailand,Thai Temple of Consumerism,District/Square,Man-made
Parque Nacional Tortuguero,Costa Rica,Tutle Islands,Wildlife,Natural
Parc National d'Andringitra,Madagascar,Unspoilt Seclusion,Nature Landscape,Natural
Capri,Italy,Where the Glamorous go to Play,Water Feature,Natural
Bamburgh Castle,UK,Camelot by the Sea,Palace/Castle,Man-made
Lake Geneva,Switzerland,Wine-infused Lakeside Life,Water Feature,Natural
Cu Chi Tunnels,Vietnam,The Warren of War,Historical Site,Man-made
Art Institute of Chicago,US,Star Power Paintings,Museum,Man-made
Gros Piton,St. Lucia,Iconic Caribbean Climn,Geological Feature,Natural
Louisiana Museum of Modern Art,Denmark,Sleek Danish Delight,Museum,Man-made
Lower Zambezi National Park,Zambia,Safaris Shaken & Stirred,Wildlife,Natural
Temppeliaukio Kirkko,Finland,Modern Piece of Heaven,Religion,Man-made
Petronas Tower,Malaysia,World's Tallest Twins,Modern Attractions,Man-made
Calakmul,Mexico,The Lost City of the Yacutan,Historical Site,Man-made
Murchison Falls,Uganda,Mighty Power of the Nile,Water Feature,Natural
Caernarfon Castle,UK,Mythology-inspired Brute Castle,Palace/Castle,Man-made
Ben Nevis,UK,The Big Yin,Geological Feature,Natural
Chitwan National Park,Nepal,Tiger Territory,Wildlife,Natural
Museo Guggenheim,Spain,Breathtaking Temple of Modern Art,Museum,Man-made
Pulpit Rock,Norway,Finest View on Earth,Geological Feature,Natural
Bay of Fundy,Canada,Dramatic Tidal Shape-shifter,Water Feature,Natural
Reed Islands,Peru,Floating Islands,Water Feature,Man-made
Sheikh Zayed Grand Mosque,United Arab Emirates,House of the Holy,Religion,Man-made
Cape Cod National Seashore,US,Dunes Whales & Oysters,Water Feature,Natural
Isla de Ometepe,Nicaragua,Lake Nicaragua's Volcano-capped Jewel,Water Feature,Natural
Wat Pho,Thailand,Buddhist Temple Nirvana,Religion,Man-made
Golden Temple,India,Punjab's Spiritual Home,Religion,Man-made
Central Kalahari Game Reserve,Botswana,Soulful Kalahari Heartland,Wildlife,Natural
Beit She'an,Israel,Snapshot of Pronvincial Rome,Historical Site,Man-made
Majorelle Garden,Morocco,Rainbow-hued Bontanical Garden,Museum,Man-made
Bioluminescent Bays,Puerto Rico,Luminous Marine Phenomeon,Water Feature,Natural
Tian Tan Buddha,China,Hilltop Bronze Giant,Religion,Man-made
Makhtesh Ramon,Israel,Israel's Grand Canyon,Geological Feature,Natural
Grotte De Lascaux,France,Vast Prehistroic Gallery,Historical Site,Man-made
Jokhang Temple,China,Atmospheric Spirtual Heart,Religion,Man-made
Kigali Memorial Centre,Rwanda,Remembering Rwanda's Darkest Hour,Historical Site,Man-made
Lisbon's Alfama,Portugal,Heart of a City,District/Square,Man-made
Museo del Oro,Colombia,Unearthing Buried Treasure,Museum,Man-made
Museumsquartier,Austria,Vienna's Art Nexus,District/Square,Man-made
798 Art District,China,Industrial Art,District/Square,Man-made
D-Day Beaches,France,The Unforgotten Sands,Historical Site,Natural
Bialowieza Forest,Poland,Primeval Bison Forest,Wildlife,Natural
N Seoul Tower,South Korea,Beloved Landmark Tower,Modern Attractions,Man-made
Lake Manasarovar,China,Holiest of Holy Lakes,Water Feature,Natural
Grossglockner Road,Austria,Ultimate Road Trip,Adventure/Activity,Natural
Pelourinho,Brazil,Historic Nexus with Rhythm,District/Square,Man-made
Glacier Skywalk,Canada,Floating in the Rockies,Adventure/Activity,Man-made
Casino Monte Carlo,Monaco,Glitzy Glam Hedonism,Adventure/Activity,Man-made
Lahore Fort,Pakistan,Atmospheric Mughal Complex,Palace/Castle,Man-made
Ishak Pasa Palace,Turkey,Storybook Turkish Palace,Palace/Castle,Man-made
Mo'orea,French Polynesia,Postcard-perfect Tropical Isle,Water Feature,Natural
Snaefellsnes,Iceland,Eerie Volcanic Majesty,Nature Landscape,Natural
Himeji Castle,Japan,Samurai Stronghold,Palace/Castle,Man-made
Sedlec Ossuary,Czech Republic,Monastic Gothic Horror,Religion,Man-made
Ait Benhaddou,Morocco,Moroccan Mud Fortress,Palace/Castle,Man-made
Fatehpur Sikri,India,Heavenly Saint's City,Historical Site,Man-made
Blyde River Canyon,South Africa,Water Soaked Gaint Gorge,Geological Feature,Natural
Ancient Persepolis,Iran,Persia Finest's Moment,Historical Site,Man-made
Ao Phang-Nga,Thailand,A View to Kill,Water Feature,Natural
Geysir,Iceland,The Great Geyser,Water Feature,Natural
Lake Malawi,Malawi,African Queen,Water Feature,Natural
Teatre-Museu Dali,Spain,Wonderful World of Dali,Museum,Man-made
Karlstejn Castle,Czech Republic,Hilltop Medievel Fort,Palace/Castle,Man-made
Danube Delta,Romania,Biodiverse Waterworld,Wildlife,Natural
Blue Ridge Parkway,US,Parkway to Heaven,Adventure/Activity,Man-made
Brecon Beacons,UK,Mountains Market Towns & Monuments,Geological Feature,Natural
Kalemegdan,Serbia,Belgrade's Bloody Bastion,Palace/Castle,Man-made
Punakha Dzong,Bhutan,Ding Dong What a Dzong,Palace/Castle,Man-made
Glover's Reef,Belize,Gilligan's Archipelago,Wildlife,Natural
Meeting of the Waters,Brazil,Colourful Confluence,Water Feature,Natural
Baalbek,Lebanon,City of the Sun,Historical Site,Man-made
Museu Picasso,Spain,Picasso in Barcelona,Museum,Man-made
Mosteiro dos Jeronimos,Portugal,Organis Architectual Fantasy,Religion,Man-made
Tintern Abbey,UK,Artistic Insipiration on the Wye,Religion,Man-made
Tosho-gu Shrine,Japan,Elaborate Shinto Shrine,Religion,Man-made
Pamukkale,Turkey,Cotton Castle Mountain,Water Feature,Natural
Diocletian's Palace,Croatia,Living History on the Adriatic,Palace/Castle,Man-made
Ruta de las Flores,El Salvador,An Achingly Scenic Highland Drive,Adventure/Activity,Natural
Cliffs of Moher,Ireland,Old World's End,Geological Feature,Natural
Isla del Sol,Bolivia,Cradle of the Sun,Historical Site,Man-made
Jesuit Missions of Trinidad and Jesus,Paraguay,Moving Memories of Mission Improbable,Religion,Man-made
